ԱԱԽ	ɑ ɑ χ ə
մակարդակն	m ɑ k ɑ ɾ d ɑ k n
մակարդակների	m ɑ k ɑ ɾ d ɑ k n e ɾ i
մակարդակներում	m ɑ k ɑ ɾ d ɑ k n e ɾ u m
մակարդակով	m ɑ k ɑ ɾ d ɑ k o v
Մակբեթ	m ɑ k b e tʰ
մակերեսի	m ɑ k e ɾ e s i
մակերեսին	m ɑ k e ɾ e s i n
մակերևույթը	m ɑ k e ɾ e v u j tʰ ə
Մակերևույթի	m ɑ k e ɾ e v u j tʰ i
մակերևույթին	m ɑ k e ɾ e v u j tʰ i n
մակերևույթից	m ɑ k e ɾ e v u j tʰ i t͡sʰ
մակընթացության	m ɑ k ə n tʰ ɑ t͡sʰ u tʰ j ɑ n
մակընթացությունը	m ɑ k ə n tʰ ɑ t͡sʰ u tʰ j u n ə
մակընթացությունն	m ɑ k ə n tʰ ɑ t͡sʰ u tʰ j u n n
մակընթացություններ	m ɑ k ə n tʰ ɑ t͡sʰ u tʰ j u n n e ɾ
Մակիս	m ɑ k i s
Մակմուրդո	m ɑ k m u ɾ d o
մակնշմամբ	m ɑ k n ə ʃ m ɑ m b
մակնշված	m ɑ k n ə ʃ v ɑ t͡s
մահ	m ɑ h
Մահալ	m ɑ h ɑ l
մահակներ	m ɑ h ɑ k n e ɾ
մահայանական	m ɑ h ɑ j ɑ n ɑ k ɑ n
մահապատիժ	m ɑ h ɑ p ɑ t i ʒ
մահապարտների	m ɑ h ɑ p ɑ ɾ t n e ɾ i
մահացած	m ɑ h ɑ t͡sʰ ɑ t͡s
Մահացածների	m ɑ h ɑ t͡sʰ ɑ t͡s n e ɾ i
մահացավ	m ɑ h ɑ t͡sʰ ɑ v
մահացել	m ɑ h ɑ t͡sʰ e l
մահացու	m ɑ h ɑ t͡sʰ u
մահացությունը	m ɑ h ɑ t͡sʰ u tʰ j u n ə
մահացությունների	m ɑ h ɑ t͡sʰ u tʰ j u n n e ɾ i
մահեր	m ɑ h e ɾ
մահերի	m ɑ h e ɾ i
մահը	m ɑ h ə
մահից	m ɑ h i t͡sʰ
մահկանացու	m ɑ h k ɑ n ɑ t͡sʰ u
մահճակալ	m ɑ h t͡ʃ ɑ k ɑ l
Մահվան	m ɑ h v ɑ n
մաղող	m ɑ ʁ o ʁ
մամլո	m ɑ m l o
մամուլի	m ɑ m u l i
մամուլում	m ɑ m u l u m
Մայամի	m ɑ j ɑ m i
մայթ	m ɑ j tʰ
մայթերն	m ɑ j tʰ e ɾ n
մայիս	m ɑ j i s
մայիսի	m ɑ j i s i
մայիսին	m ɑ j i s i n
Մայոտտայում	m ɑ j o t t ɑ j u m
Մայորկայի	m ɑ j o ɾ k ɑ j i
մայրաքաղաք	m ɑ j ɾ ɑ kʰ ɑ ʁ ɑ kʰ
մայրաքաղաքը	m ɑ j ɾ ɑ kʰ ɑ ʁ ɑ kʰ ə
մայրաքաղաքն	m ɑ j ɾ ɑ kʰ ɑ ʁ ɑ kʰ n
մայրիկը	m ɑ j ɾ i k ə
մայրուղու	m ɑ j ɾ u ʁ u
մայրցամաք	m ɑ j ɾ t͡sʰ ɑ m ɑ kʰ
Մայրցամաքային	m ɑ j ɾ t͡sʰ ɑ m ɑ kʰ ɑ j i n
մայրցամաքի	m ɑ j ɾ t͡sʰ ɑ m ɑ kʰ i
Մայրցամաքից	m ɑ j ɾ t͡sʰ ɑ m ɑ kʰ i t͡sʰ
մայրցամաքներում	m ɑ j ɾ t͡sʰ ɑ m ɑ kʰ n e ɾ u m
Մայքը	m ɑ j kʰ ə
Ման	m ɑ n
Մանարոլա	m ɑ n ɑ ɾ o l ɑ
Մանգոլա	m ɑ ŋ ɡ o l ɑ
մանգրենիների	m ɑ ŋ ɡ ɾ e n i n e ɾ i
մանգրենու	m ɑ ŋ ɡ ɾ e n u
մանդատը	m ɑ n d ɑ t ə
Մանիլայում	m ɑ n i l ɑ j u m
մանկաբարձ	m ɑ ŋ k ɑ b ɑ ɾ t͡sʰ
մանկական	m ɑ ŋ k ɑ k ɑ n
մանկունյացի	m ɑ ŋ k u n j ɑ t͡sʰ i
Մանչեստր	m ɑ n t͡ʃʰ e s t ɾ
Մանչեստր	m ɑ n t͡ʃʰ e s t ə ɾ
Մանտուվալոսը	m ɑ n t u v ɑ l o s ə
մանտրաների	m ɑ n t ɾ ɑ n e ɾ i
մանրադիտակի	m ɑ n ɾ ɑ d i t ɑ k i
մանրադիտակով	m ɑ n ɾ ɑ d i t ɑ k o v
մանրախիճ	m ɑ n ɾ ɑ χ i t͡ʃ
մանրակրկիտ	m ɑ n ɾ ɑ k ə ɾ k i t
Մանրամասն	m ɑ n ɾ ɑ m ɑ s n
Մանրամասն	m ɑ n ɾ ɑ m ɑ s ə n
մանրամասներ	m ɑ n ɾ ɑ m ɑ s n e ɾ
մանրամասներն	m ɑ n ɾ ɑ m ɑ s n e ɾ n
մանրաքարը	m ɑ n ɾ ɑ kʰ ɑ ɾ ə
մանրէաբանական	m ɑ n ɾ e j ɑ b ɑ n ɑ k ɑ n
մանրէազերծվել	m ɑ n ɾ e j ɑ z e ɾ t͡s v e l
մանրէի	m ɑ n ɾ e i
մանրէի	m ɑ n ɾ e j i
մանրէների	m ɑ n ɾ e n e ɾ i
մանրէներն	m ɑ n ɾ e n e ɾ n
մաշկիդ	m ɑ ʃ k i d
Մաշհադում	m ɑ ʃ h ɑ d u m
մաշվածություն	m ɑ ʃ v ɑ t͡s u tʰ j u n
Մաորի	m ɑ o ɾ i
մաորիները	m ɑ o ɾ i n e ɾ ə
մաորիների	m ɑ o ɾ i n e ɾ i
մաորիներն	m ɑ o ɾ i n e ɾ n
Մաու	m ɑ u
Մաուրիի	m ɑ u ɾ i i
Մաչեյ	m ɑ t͡ʃʰ e j
Մաչու	m ɑ t͡ʃʰ u
Մապուչի	m ɑ p u t͡ʃʰ i
Մապուչիները	m ɑ p u t͡ʃʰ i n e ɾ ə
Մառա	m ɑ r ɑ
մաս	m ɑ s
մասամբ	m ɑ s ɑ m b
Մասաչուսեթսի	m ɑ s ɑ t͡ʃʰ u s e tʰ s i
մասեր	m ɑ s e ɾ
մասերի	m ɑ s e ɾ i
մասերում	m ɑ s e ɾ u m
մասը	m ɑ s ə
մասը	m ɑ s ə
մասի	m ɑ s i
մասին	m ɑ s i n
մասին'	m ɑ s i n
մասից	m ɑ s i t͡sʰ
Մասլոուի	m ɑ s l o u i
մասն	m ɑ s n
մասն	m ɑ s ə n
մասնագետ	m ɑ s n ɑ ɡ e t
մասնագետների	m ɑ s n ɑ ɡ e t n e ɾ i
մասնագետներին	m ɑ s n ɑ ɡ e t n e ɾ i n
մասնագիտական	m ɑ s n ɑ ɡ i t ɑ k ɑ n
մասնագիտաված	m ɑ s n ɑ ɡ i t ɑ v ɑ t͡s
մասնագիտացած	m ɑ s n ɑ ɡ i t ɑ t͡sʰ ɑ t͡s
մասնագիտացված	m ɑ s n ɑ ɡ i t ɑ t͡sʰ v ɑ t͡s
մասնագիտությունը	m ɑ s n ɑ ɡ i t u tʰ j u n ə
մասնագիտություններ	m ɑ s n ɑ ɡ i t u tʰ j u n n e ɾ
մասնագիտությունները	m ɑ s n ɑ ɡ i t u tʰ j u n n e ɾ ə
մասնակիորեն	m ɑ s n ɑ k i o ɾ e n
մասնակից	m ɑ s n ɑ k i t͡sʰ
մասնակիցը	m ɑ s n ɑ k i t͡sʰ ə
մասնակիցները	m ɑ s n ɑ k i t͡sʰ n e ɾ ə
մասնակցած	m ɑ s n ɑ k t͡sʰ ɑ t͡s
մասնակցածների	m ɑ s n ɑ k t͡sʰ ɑ t͡s n e ɾ i
մասնակցել	m ɑ s n ɑ k t͡sʰ e l
մասնակցելով	m ɑ s n ɑ k t͡sʰ e l o v
մասնակցելու	m ɑ s n ɑ k t͡sʰ e l u
մասնակցեց	m ɑ s n ɑ k t͡sʰ e t͡sʰ
մասնակցեցին	m ɑ s n ɑ k t͡sʰ e t͡sʰ i n
մասնակցի	m ɑ s n ɑ k t͡sʰ i
մասնակցողներից	m ɑ s n ɑ k t͡sʰ o ʁ n e ɾ i t͡sʰ
մասնակցությամբ	m ɑ s n ɑ k t͡sʰ u tʰ j ɑ m b
մասնակցության	m ɑ s n ɑ k t͡sʰ u tʰ j ɑ n
մասնակցություն	m ɑ s n ɑ k t͡sʰ u tʰ j u n
մասնավոր	m ɑ s n ɑ v o ɾ
մասնավորապես	m ɑ s n ɑ v o ɾ ɑ p e s
մասնավորել	m ɑ s n ɑ v o ɾ e l
մասնիկ	m ɑ s n i k
մասնիկներից	m ɑ s n i k n e ɾ i t͡sʰ
մասնիկներից	m ɑ s n i k n e ɾ i t͡sʰ
մասով	m ɑ s o v
Մասուա	m ɑ s u ɑ
մասում	m ɑ s u m
մասում	m ɑ s u m
մասունքների	m ɑ s u ŋ kʰ n e ɾ i
մասսայական	m ɑ s s ɑ j ɑ k ɑ n
Մասսային	m ɑ s s ɑ j i n
Մասսան	m ɑ s s ɑ n
մատակարար	m ɑ t ɑ k ɑ ɾ ɑ ɾ
մատակարարման	m ɑ t ɑ k ɑ ɾ ɑ ɾ m ɑ n
մատակարարները	m ɑ t ɑ k ɑ ɾ ɑ ɾ n e ɾ ə
մատակարարների	m ɑ t ɑ k ɑ ɾ ɑ ɾ n e ɾ i
մատակարարումը	m ɑ t ɑ k ɑ ɾ ɑ ɾ u m ə
մատակարման	m ɑ t ɑ k ɑ ɾ m ɑ n
մատանի	m ɑ t ɑ n i
մատերիայի	m ɑ t e ɾ j ɑ j i
մատիտ	m ɑ t i t
մատիտը	m ɑ t i t ə
մատիտն	m ɑ t i t n
մատնանշելով	m ɑ t n ɑ n ə ʃ e l o v
մատնանշում	m ɑ t n ɑ n ə ʃ u m
մատնանշվում	m ɑ t n ɑ n ə ʃ v u m
մատնաչափ	m ɑ t n ɑ t͡ʃʰ ɑ pʰ
մատնելուց	m ɑ t n e l u t͡sʰ
մատների	m ɑ t n e ɾ i
մատներով	m ɑ t n e ɾ o v
մատնեց	m ɑ t n e t͡sʰ
մատնվել	m ɑ t n ə v e l
մատուցեցին	m ɑ t u t͡sʰ e t͡sʰ i n
մատուցման	m ɑ t u t͡sʰ m ɑ n
մատուցող	m ɑ t u t͡sʰ o ʁ
մատուցում	m ɑ t u t͡sʰ u m
մատուցվում	m ɑ t u t͡sʰ v u m
մատչելի	m ɑ t t͡ʃʰ e l i
մատչելիության	m ɑ t t͡ʃʰ e l i u tʰ j ɑ n
մատչելիության	m ɑ t t͡ʃʰ e l i j u tʰ j ɑ n
Մարա	m ɑ ɾ ɑ
մարդ	m ɑ ɾ tʰ
մարդաբանություն	m ɑ ɾ tʰ ɑ b ɑ n u tʰ j u n
մարդակեր	m ɑ ɾ tʰ ɑ k e ɾ
մարդաշատ	m ɑ ɾ tʰ ɑ ʃ ɑ t
Մարդասպան	m ɑ ɾ tʰ ɑ s p ɑ n
մարդատար	m ɑ ɾ tʰ ɑ t ɑ ɾ
մարդը	m ɑ ɾ tʰ ə
մարդիկ	m ɑ ɾ tʰ i k
մարդկային	m ɑ ɾ tʰ k ɑ j i n
մարդկանց	m ɑ ɾ tʰ k ɑ n t͡sʰ
մարդկանցից	m ɑ ɾ tʰ k ɑ n t͡sʰ i t͡sʰ
մարդկության	m ɑ ɾ tʰ k u tʰ j ɑ n
Մարդն	m ɑ ɾ tʰ n
մարդու	m ɑ ɾ tʰ u
մարդուն	m ɑ ɾ tʰ u n
մարդուց	m ɑ ɾ tʰ u t͡sʰ
մարելիս	m ɑ ɾ e l i s
մարեց	m ɑ ɾ e t͡sʰ
մարեցին	m ɑ ɾ e t͡sʰ i n
մարզադաշտում	m ɑ ɾ z ɑ d ɑ ʃ t u m
մարզական	m ɑ ɾ z ɑ k ɑ n
մարզաձևերի	m ɑ ɾ z ɑ d͡z e v e ɾ i
մարզաձևերից	m ɑ ɾ z ɑ d͡z e v e ɾ i t͡sʰ
մարզավիճակը	m ɑ ɾ z ɑ v i t͡ʃ ɑ k ə
մարզավիճակում	m ɑ ɾ z ɑ v i t͡ʃ ɑ k u m
Մարզընկեր	m ɑ ɾ z ə ŋ k e ɾ
մարզիկ	m ɑ ɾ z i k
մարզիկը	m ɑ ɾ z i k ə
մարզիկների	m ɑ ɾ z i k n e ɾ i
մարզիկներին	m ɑ ɾ z i k n e ɾ i n
մարզում	m ɑ ɾ z u m
մարզումներ	m ɑ ɾ z u m n e ɾ
մարզվածություն	m ɑ ɾ z v ɑ t͡s u tʰ j u n
մարզվում	m ɑ ɾ z v u m
Մարթա	m ɑ ɾ tʰ ɑ
Մարի	m ɑ ɾ i
Մարիամի	m ɑ ɾ j ɑ m i
Մարիանյան	m ɑ ɾ j ɑ n j ɑ n
մարիխուանա	m ɑ ɾ i χ u ɑ n ɑ
Մարիո	m ɑ ɾ i o
մարմարե	m ɑ ɾ m ɑ ɾ e
մարմին	m ɑ ɾ m i n
մարմինը	m ɑ ɾ m i n ə
մարմինները	m ɑ ɾ m i n n e ɾ ə
մարմինների	m ɑ ɾ m i n n e ɾ i
մարմիններում	m ɑ ɾ m i n n e ɾ u m
մարմնամարզական	m ɑ ɾ m n ɑ m ɑ ɾ z ɑ k ɑ n
մարմնամարզությամբ	m ɑ ɾ m n ɑ m ɑ ɾ z u tʰ j ɑ m b
Մարմնամարզության	m ɑ ɾ m n ɑ m ɑ ɾ z u tʰ j ɑ n
մարմնամարզություն	m ɑ ɾ m n ɑ m ɑ ɾ z u tʰ j u n
մարմնի	m ɑ ɾ m ə n i
մարմնի	m ɑ ɾ m n i
մարմնին	m ɑ ɾ m ə n i n
մարմնին	m ɑ ɾ m n i n
մարմնից	m ɑ ɾ m ə n i t͡sʰ
մարմնից	m ɑ ɾ m n i t͡sʰ
մարմնով	m ɑ ɾ m ə n o v
մարմնով	m ɑ ɾ m n o v
մարմնում	m ɑ ɾ m ə n u m
մարմնում	m ɑ ɾ m n u m
Մարոկկոյի	m ɑ ɾ o k k o j i
Մարուչիդորը	m ɑ ɾ u t͡ʃʰ i d o ɾ ə
Մարուչիդորն	m ɑ ɾ u t͡ʃʰ i d o ɾ n
մարսելը	m ɑ ɾ s e l ə
Մարսից	m ɑ ɾ s i t͡sʰ
մարսյան	m ɑ ɾ s j ɑ n
մարսողական	m ɑ ɾ s o ʁ ɑ k ɑ n
մարսում	m ɑ ɾ s u m
մարսվում	m ɑ ɾ s v u m
մարտ	m ɑ ɾ t
մարտահրավեր	m ɑ ɾ t ɑ h ə ɾ ɑ v e ɾ
մարտահրավերին	m ɑ ɾ t ɑ h ə ɾ ɑ v e ɾ i n
մարտահրավերից	m ɑ ɾ t ɑ h ə ɾ ɑ v e ɾ i t͡sʰ
մարտավարությանը	m ɑ ɾ t ɑ v ɑ ɾ u tʰ j ɑ n ə
Մարտելիի	m ɑ ɾ t e l i j i
Մարտելիի	m ɑ ɾ t e l i i
Մարտելլիի	m ɑ ɾ t e l l i j i
Մարտելլիի	m ɑ ɾ t e l l i i
Մարտելլին	m ɑ ɾ t e l l i n
մարտի	m ɑ ɾ t i
մարտին	m ɑ ɾ t i n
մացառուտներում	m ɑ t͡sʰ ɑ r u t n e ɾ u m
մաքուր	m ɑ kʰ u ɾ
մաքոքների	m ɑ kʰ o kʰ n e ɾ i
մաքսակետերի	m ɑ kʰ s ɑ k e t e ɾ i
մաքսային	m ɑ kʰ s ɑ j i n
մաքսավճար	m ɑ kʰ s ɑ v ə t͡ʃ ɑ ɾ
մաքրելու	m ɑ kʰ ɾ e l u
մաքրող	m ɑ kʰ ɾ o ʁ
մաքրվում	m ɑ kʰ ɾ v u m
ՄաքՔորդը	m ɑ kʰ kʰ o ɾ d ə
մաֆիայի	m ɑ f j ɑ j i
մեդալակիր	m e d ɑ l ɑ k i ɾ
մեդալակիրը	m e d ɑ l ɑ k i ɾ ə
մեդալի	m e d ɑ l i
մեդալների	m e d ɑ l n e ɾ i
մեդիտացիայի	m e d i t ɑ t͡sʰ j ɑ j i
մեդուզան	m e d u z ɑ n
մեդուզաները	m e d u z ɑ n e ɾ ə
Մեզ	m e z
Մեզանից	m e z ɑ n i t͡sʰ
մեզի	m e z i
մեթանոլը	m e tʰ ɑ n o l ə
մեթոդ	m e tʰ o d
մեթոդը	m e tʰ o d ə
մեթոդի	m e tʰ o d i
մեթոդներ	m e tʰ o d n e ɾ
մեթոդների	m e tʰ o d n e ɾ i
մեթոդներից	m e tʰ o d n e ɾ i t͡sʰ
մեթոդներով	m e tʰ o d n e ɾ o v
մեթոդով	m e tʰ o d o v
մելամին	m e l ɑ m i n
մեխանիզացված	m e χ ɑ n i z ɑ t͡sʰ v ɑ t͡s
մեծ	m e t͡s
մեծագույն	m e t͡s ɑ ɡ u j n
մեծաթիվ	m e t͡s ɑ tʰ i v
մեծածավալ	m e t͡s ɑ t͡s ɑ v ɑ l
մեծահասակի	m e t͡s ɑ h ɑ s ɑ k i
մեծահասակները	m e t͡s ɑ h ɑ s ɑ k n e ɾ ə
մեծահասակների	m e t͡s ɑ h ɑ s ɑ k n e ɾ i
մեծամասամբ	m e t͡s ɑ m ɑ s ɑ m b
մեծամասնությամբ	m e t͡s ɑ m ɑ s n u tʰ j ɑ m b
մեծամասնության	m e t͡s ɑ m ɑ s n u tʰ j ɑ n
մեծամասնությանը	m e t͡s ɑ m ɑ s n u tʰ j ɑ n ə
մեծամասնություն	m e t͡s ɑ m ɑ s n u tʰ j u n
մեծամասնությունը	m e t͡s ɑ m ɑ s n u tʰ j u n ə
մեծամասնությունն	m e t͡s ɑ m ɑ s n u tʰ j u n n
մեծամասնությունում	m e t͡s ɑ m ɑ s n u tʰ j u n u m
մեծանա	m e t͡s ɑ n ɑ
մեծանալ	m e t͡s ɑ n ɑ l
մեծապես	m e t͡s ɑ p e s
մեծատառով	m e t͡s ɑ t ɑ r o v
մեծացել	m e t͡s ɑ t͡sʰ e l
մեծացնել	m e t͡s ɑ t͡sʰ n e l
մեծացնելն	m e t͡s ɑ t͡sʰ n e l n
մեծացնում	m e t͡s ɑ t͡sʰ n u m
մեծացրել	m e t͡s ɑ t͡sʰ ɾ e l
մեծաքանակ	m e t͡s ɑ kʰ ɑ n ɑ k
մեծերը	m e t͡s e ɾ ə
Մեծը	m e t͡s ə
մեծությամբ	m e t͡s u tʰ j ɑ m b
մեծության	m e t͡s u tʰ j ɑ n
մեկ	m e k
մեկը	m e k ə
մեկի	m e k i
մեկին	m e k i n
մեկից	m e k i t͡sʰ
մեկն	m e k n
մեկնաբանել	m e k n ɑ b ɑ n e l
մեկնաբանելու	m e k n ɑ b ɑ n e l u
մեկնաբանության	m e k n ɑ b ɑ n u tʰ j ɑ n
մեկնաբանություն	m e k n ɑ b ɑ n u tʰ j u n
մեկնաբանությունների	m e k n ɑ b ɑ n u tʰ j u n n e ɾ i
մեկնաբանություններին	m e k n ɑ b ɑ n u tʰ j u n n e ɾ i n
մեկնաբանություններն	m e k n ɑ b ɑ n u tʰ j u n n e ɾ n
մեկնարկած	m e k n ɑ ɾ k ɑ t͡s
մեկնարկային	m e k n ɑ ɾ k ɑ j i n
մեկնարկեց	m e k n ɑ ɾ k e t͡sʰ
մեկնարկեցին	m e k n ɑ ɾ k e t͡sʰ i n
մեկնարկը	m e k n ɑ ɾ k ə
մեկնարկի	m e k n ɑ ɾ k i
մեկնարկից	m e k n ɑ ɾ k i t͡sʰ
մեկնարկում	m e k n ɑ ɾ k u m
մեկնել	m e k n e l
մեկնելուց	m e k n e l u t͡sʰ
մեկներ	m e k n e ɾ
մեկնում	m e k n u m
մեկշաբաթյա	m e k ʃ ɑ pʰ ɑ tʰ j ɑ
մեկուսանում	m e k u s ɑ n u m
մեկուսացած	m e k u s ɑ t͡sʰ ɑ t͡s
մեկուսացման	m e k u s ɑ t͡sʰ m ɑ n
մեկուսացնող	m e k u s ɑ t͡sʰ n o ʁ
մեկուսացնում	m e k u s ɑ t͡sʰ n u m
մեկուսացում	m e k u s ɑ t͡sʰ u m
մեկուսացված	m e k u s ɑ t͡sʰ v ɑ t͡s
մեկտեղ	m e k t e ʁ
մեկօրյա	m e k o ɾ j ɑ
մեղադրական	m e ʁ ɑ d ə ɾ ɑ k ɑ n
մեղադրական	m e ʁ ɑ d ɾ ɑ k ɑ n
մեղադրանք	m e ʁ ɑ d ə ɾ ɑ ŋ kʰ
մեղադրանք	m e ʁ ɑ d ɾ ɑ ŋ kʰ
մեղադրանքի	m e ʁ ɑ d ə ɾ ɑ ŋ kʰ i
մեղադրանքի	m e ʁ ɑ d ɾ ɑ ŋ kʰ i
մեղադրանքները	m e ʁ ɑ d ə ɾ ɑ ŋ kʰ n e ɾ ə
մեղադրանքները	m e ʁ ɑ d ɾ ɑ ŋ kʰ n e ɾ ə
մեղադրանքներին	m e ʁ ɑ d ə ɾ ɑ ŋ kʰ n e ɾ i n
մեղադրանքներին	m e ʁ ɑ d ɾ ɑ ŋ kʰ n e ɾ i n
մեղադրանքով	m e ʁ ɑ d ə ɾ ɑ ŋ kʰ o v
մեղադրանքով	m e ʁ ɑ d ɾ ɑ ŋ kʰ o v
մեղադրեցին	m e ʁ ɑ d ɾ e t͡sʰ i n
մեղադրեցին	m e ʁ ɑ d ə ɾ e t͡sʰ i n
մեղադրյալները	m e ʁ ɑ d ə ɾ j ɑ l n e ɾ ə
Մեղադրյալների	m e ʁ ɑ d ə ɾ j ɑ l n e ɾ i
մեղադրում	m e ʁ ɑ d ɾ u m
մեղադրում	m e ʁ ɑ d ə ɾ u m
մեղադրվել	m e ʁ ɑ d ə ɾ v e l
մեղադրվում	m e ʁ ɑ d ə ɾ v u m
մեղավոր	m e ʁ ɑ v o ɾ
մեղմ	m e ʁ m
մեղմացնել	m e ʁ m ɑ t͡sʰ n e l
մեղմելու	m e ʁ m e l u
մեղրամիսի	m e ʁ ɾ ɑ m i s i
մենամարտերի	m e n ɑ m ɑ ɾ t e ɾ i
մենամարտի	m e n ɑ m ɑ ɾ t i
մենամարտում	m e n ɑ m ɑ ɾ t u m
Մենաստանների	m e n ɑ s t ɑ n n e ɾ i
Մենդոզան	m e n d o z ɑ n
մենեջերներն	m e n e d͡ʒ e ɾ n e ɾ n
Մենեջմենթ	m e n e d͡ʒ m e n tʰ
Մենք	m e ŋ kʰ
մեջ	m e t͡ʃʰ
մեջ.	m e t͡ʃʰ
մեջբերում	m e t͡ʃʰ b e ɾ u m
մեջտեղում	m e t͡ʃʰ t e ʁ u m
մեջքերի	m e t͡ʃʰ kʰ e ɾ i
մեջքի	m e t͡ʃʰ kʰ i
Մեռյալների	m e r j ɑ l n e ɾ i
մետաղալարով	m e t ɑ ʁ ɑ l ɑ ɾ o v
մետաղական	m e t ɑ ʁ ɑ k ɑ n
մետաղի	m e t ɑ ʁ i
մետաղներ	m e t ɑ ʁ n e ɾ
մետաղներից	m e t ɑ ʁ n e ɾ i t͡sʰ
մետաքսե	m e t ɑ kʰ s e
մետր	m e t ɾ
մետր	m e t ə ɾ
մետրայինն	m e t ɾ ɑ j i n n
մետրանոց	m e t ɾ ɑ n o t͡sʰ
մետրի	m e t ɾ i
մետրո	m e t ɾ o
մետրոյի	m e t ɾ o j i
Մետրոյում	m e t ɾ o j u m
Մետրոպլյուս	m e t ɾ o p l j u s
Մետրոպլյուսի	m e t ɾ o p l j u s i
ՄետրոՊլյուսն	m e t ɾ o p l j u s n
Մետրոռեյլը	m e t ɾ o r e j l ə
Մեր	m e ɾ
մերենիդներն	m e ɾ e n i d n e ɾ n
մերժելու	m e ɾ ʒ e l u
մերժեց	m e ɾ ʒ e t͡sʰ
մերժմամբ	m e ɾ ʒ m ɑ m b
մերժում	m e ɾ ʒ u m
մերժվել	m e ɾ ʒ v e l
մերժվեց	m e ɾ ʒ v e t͡sʰ
Մերիլենդի	m e ɾ i l e n d i
Մերիոնի	m e ɾ i o n i
մերկ	m e ɾ k
մերձակա	m e ɾ d͡z ɑ k ɑ
մերձակայքում	m e ɾ d͡z ɑ k ɑ j kʰ u m
Մերձավոր	m e ɾ d͡z ɑ v o ɾ
մերձարևադարձային	m e ɾ d͡z ɑ ɾ e v ɑ d ɑ ɾ t͡sʰ ɑ j i n
մերձափնյա	m e ɾ d͡z ɑ pʰ n j ɑ
մերձքաղաքային	m e ɾ d͡z kʰ ɑ ʁ ɑ kʰ ɑ j i n
Մերսի	m e ɾ s i
մեքենա	m e kʰ e n ɑ
մեքենայի	m e kʰ e n ɑ j i
մեքենայով	m e kʰ e n ɑ j o v
մեքենան	m e kʰ e n ɑ n
մեքենաները	m e kʰ e n ɑ n e ɾ ə
մեքենաների	m e kʰ e n ɑ n e ɾ i
մեքենաներին	m e kʰ e n ɑ n e ɾ i n
մեքենաներով	m e kʰ e n ɑ n e ɾ o v
Մեքսիկան	m e kʰ s i k ɑ n
Մեքսիկացի	m e kʰ s i k ɑ t͡sʰ i
Մեքքայի	m e kʰ kʰ ɑ j i
Մեքքայում	m e kʰ kʰ ɑ j u m
մզկիթներով	m ə z k i tʰ n e ɾ o v
մթերքների	m ə tʰ e ɾ kʰ n e ɾ i
մթնոլորտ	m ə tʰ n o l o ɾ t
մթնոլորտային	m ə tʰ n o l o ɾ t ɑ j i n
մթնոլորտը	m ə tʰ n o l o ɾ t ə
մթնոլորտն	m ə tʰ n o l o ɾ t n
Մթության	m ə tʰ u tʰ j ɑ n
մի	m i
Մի	m i
միաբան	m i ɑ b ɑ n
միաբջիջ	m i ɑ b ə d͡ʒ i d͡ʒ
միաբջիջ	m i j ɑ b ə d͡ʒ i d͡ʒ
միախառնելու	m i j ɑ χ ɑ r n e l u
միախառնելու	m i ɑ χ ɑ r n e l u
միախառնվելով	m i j ɑ χ ɑ r n ə v e l o v
միախառնվելով	m i ɑ χ ɑ r n ə v e l o v
միախառնվում	m i j ɑ χ ɑ r n ə v u m
միախառնվում	m i ɑ χ ɑ r n ə v u m
միակ	m i ɑ k
միակ	m i j ɑ k
միակն	m i ɑ k n
միակն	m i j ɑ k n
միաձև	m i j ɑ d͡z e v
միաձև	m i ɑ d͡z e v
միաձուլման	m i j ɑ d͡z u l m ɑ n
միաձուլման	m i ɑ d͡z u l m ɑ n
միաձուլումից	m i j ɑ d͡z u l u m i t͡sʰ
միաձուլումից	m i ɑ d͡z u l u m i t͡sʰ
միաձուլվ	m i j ɑ d͡z u l v
միաձուլվ	m i ɑ d͡z u l v
միայն	m i j ɑ j n
միայնակ	m i j ɑ j n ɑ k
միանալ	m i j ɑ n ɑ l
միանալը	m i j ɑ n ɑ l ə
միանալու	m i j ɑ n ɑ l u
միանգամայն	m i ɑ ŋ kʰ ɑ m ɑ j n
միանգամից	m i j ɑ ŋ kʰ ɑ m i t͡sʰ
միանգամյա	m i j ɑ ŋ kʰ ɑ m j ɑ
միանձնուհին	m i j ɑ n d͡z n u h i n
միանման	m i j ɑ n ə m ɑ n
միանշանակ	m i j ɑ n ə ʃ ɑ n ɑ k
միապետուհին	m i j ɑ p e t u h i n
միասեռականների	m i j ɑ s e r ɑ k ɑ n n e ɾ i
միասին	m i j ɑ s i n
միասին	m i ɑ s i n
միասին	m j ɑ s i n
ՄԻԱՎ-ի	m i j ɑ v i
ՄԻԱՎ-ի	m i ɑ v i
միավոր	m i j ɑ v o ɾ
միավորանոց	m i j ɑ v o ɾ ɑ n o t͡sʰ
միավորել	m i j ɑ v o ɾ e l
միավորը	m i j ɑ v o ɾ ə
միավորն	m i j ɑ v o ɾ n
միավորները	m i j ɑ v o ɾ n e ɾ ə
միավորների	m i j ɑ v o ɾ n e ɾ i
միավորներով	m i j ɑ v o ɾ n e ɾ o v
միավորով	m i j ɑ v o ɾ o v
միավորում	m i j ɑ v o ɾ u m
միավորումների	m i j ɑ v o ɾ u m n e ɾ i
միացած	m i j ɑ t͡sʰ ɑ t͡s
